id	mutations
EPI_ISL_419699	5.0611620546
EPI_ISL_427162	5.0002023492
EPI_ISL_427633	3.0300028444000002
EPI_ISL_426053	5.0002023492
EPI_ISL_429627	3.0001118444
EPI_ISL_420019	4.000133184
EPI_ISL_429981	3.0000640188
EPI_ISL_429982	5.0002621311999995
EPI_ISL_429990	4.049979415599999
EPI_ISL_420301	3.0001118444
EPI_ISL_424952	1.0299123395999998
EPI_ISL_421599	4.000133184
EPI_ISL_427472	3.0000640188
EPI_ISL_428762	2.0299336792
EPI_ISL_420791	3.0001118444
EPI_ISL_428394	2.0299336792
EPI_ISL_428385	2.0299336792
EPI_ISL_429646	6.0004149911999995
EPI_ISL_426543	4.000133184
EPI_ISL_426625	3.0000640188
EPI_ISL_422462	7.0001972028
EPI_ISL_429845	7.0001972028
EPI_ISL_426161	10.000416654799999
EPI_ISL_429848	7.0300882028
EPI_ISL_429846	7.0001972028
EPI_ISL_429847	7.0001972028
EPI_ISL_422461	5.029997698
EPI_ISL_426160	5.000106698
EPI_ISL_426566	8.0004576704
EPI_ISL_426565	4.0299763584
EPI_ISL_426567	4.0299763584
EPI_ISL_428796	4.0000853584
EPI_ISL_429043	3.0001118444
EPI_ISL_424954	3.0001118444
EPI_ISL_424172	4.000133184
EPI_ISL_429629	6.0002834707999995
EPI_ISL_429644	5.0301531312
EPI_ISL_427268	4.000133184
EPI_ISL_429639	4.000133184
EPI_ISL_429633	3.0000640188
EPI_ISL_424299	5.0002621311999995
EPI_ISL_429014	3.0000640188
EPI_ISL_430034	3.0393109017999995
EPI_ISL_428801	2.0000426792
EPI_ISL_424968	2.0000426792
EPI_ISL_428767	6.0006062936
EPI_ISL_422966	4.000133184
EPI_ISL_428803	2.0299336792
EPI_ISL_429636	4.000133184
EPI_ISL_428772	3.0000640188
EPI_ISL_426128	4.000133184
EPI_ISL_429989	2.0000426792
EPI_ISL_428204	3.0674443109999996
EPI_ISL_424311	4.0002407916
EPI_ISL_429656	2.0000426792
EPI_ISL_428373	3.0674742019999997
EPI_ISL_428776	6.0006062936
EPI_ISL_428799	2.0000426792
EPI_ISL_417516	5.0002621311999995
EPI_ISL_427479	2.0299336792
EPI_ISL_427487	4.000133184
EPI_ISL_427185	4.000133184
EPI_ISL_426499	5.0002621311999995
EPI_ISL_426539	6.0004149911999995
EPI_ISL_426521	5.0002621311999995
EPI_ISL_426514	5.0002621311999995
EPI_ISL_426508	4.000133184
EPI_ISL_426542	6.0003312964
EPI_ISL_427496	3.0300028444000002
EPI_ISL_427630	3.0300028444000002
EPI_ISL_427290	4.0002407916
EPI_ISL_426321	5.0003936516
EPI_ISL_426108	5.1118452342
EPI_ISL_427636	2.0299336792
EPI_ISL_428795	2.0299336792
EPI_ISL_426617	2.0000426792
EPI_ISL_427476	2.0000426792
EPI_ISL_427446	6.104118826600001
EPI_ISL_427462	6.104118826600001
EPI_ISL_429013	6.0006062936
EPI_ISL_427486	2.0000426792
EPI_ISL_423021	4.000133184
EPI_ISL_424201	6.0911222198
EPI_ISL_428789	4.0000853584
EPI_ISL_419518	3.0308099014
EPI_ISL_427620	4.000133184
EPI_ISL_424186	6.0003312964
EPI_ISL_428804	1.0299123395999998
